word,translation,image
daina,song,resources/images/room1.jpg
kede,chair,resources/images/room1.jpg
langas,window,resources/images/room1.jpg
nafta,oil,resources/images/room1.jpg
pupa,bean,resources/images/room1.jpg
sausainis,cookie,resources/images/room1.jpg
tvartas,barn,resources/images/room2.jpg
ziedas,ring,resources/images/room2.jpg
augalas,plant,resources/images/room2.jpg
duona,bread,resources/images/room2.jpg
krautuve,store,resources/images/room2.jpg
miestas,city,resources/images/room2.jpg
palepstis,broom,resources/images/room3.jpg
pyragas,cake,resources/images/room3.jpg
sokis,dance,resources/images/room3.jpg
upe,river,resources/images/room3.jpg
akis,eye,resources/images/room3.jpg
gele,flower,resources/images/room3.jpg
kreida,chalk,resources/images/room4.jpg
menulis,moon,resources/images/room4.jpg
pastatas,building,resources/images/room4.jpg
pinigine,wallet,resources/images/room4.jpg
smegenys,brain,resources/images/room4.jpg
urvas,cave,resources/images/room4.jpg
arbata,tea,resources/images/room5.jpg
durys,door,resources/images/room5.jpg
kardas,sword,resources/images/room5.jpg
mesa,meat,resources/images/room5.jpg
palaidine,shirt,resources/images/room5.jpg
raktas,key,resources/images/room5.jpg
stalas,table,resources/images/room6.jpg
vanduo,water,resources/images/room6.jpg
adata,needle,resources/images/room6.jpg
kablelis,hook,resources/images/room6.jpg
kunigas,priest,resources/images/room6.jpg
medis,tree,resources/images/room6.jpg
pienas,milk,resources/images/room7.jpg
rusys,basement,resources/images/room7.jpg
sesuo,sister,resources/images/room7.jpg
vaistas,drug,resources/images/room7.jpg
auksas,gold,resources/images/room7.jpg
kumpis,ham,resources/images/room7.jpg
laidas,wire,resources/images/room8.jpg
obuolys,apple,resources/images/room8.jpg
riteris,knight,resources/images/room8.jpg
sakute,fork,resources/images/room8.jpg
tiltas,bridge,resources/images/room8.jpg
zirkles,scissors,resources/images/room8.jpg
batas,shoe,resources/images/room9.jpg
karalius,king,resources/images/room9.jpg
lova,bed,resources/images/room9.jpg
mokykla,school,resources/images/room9.jpg
purvas,dirt,resources/images/room9.jpg
sketis,umbrella,resources/images/room9.jpg
tinklas,net,resources/images/room10.jpg
vinis,nail,resources/images/room10.jpg
bulve,potato,resources/images/room10.jpg
knyga,book,resources/images/room10.jpg
ledas,ice,resources/images/room10.jpg
mygtukas,button,resources/images/room10.jpg
paukstis,bird,resources/images/room1.jpg
salmas,helmet,resources/images/room1.jpg
turgus,market,resources/images/room2.jpg
vejas,wind,resources/images/room2.jpg
burna,mouth,resources/images/room3.jpg
kraujas,blood,resources/images/room3.jpg
laiptelis,stair,resources/images/room4.jpg
namas,house,resources/images/room4.jpg
plyta,stone,resources/images/room5.jpg
stogas,roof,resources/images/room5.jpg
traukinys,train,resources/images/room6.jpg
zole,grass,resources/images/room6.jpg
bugnas,drum,resources/images/room7.jpg
koja,leg,resources/images/room7.jpg
lietus,rain,resources/images/room8.jpg
puodelis,cup,resources/images/room8.jpg
plaukas,hair,resources/images/room9.jpg
smaragdas,emerald,resources/images/room9.jpg
tvora,fence,resources/images/room10.jpg
zuvis,fish,resources/images/room10.jpg
