word,translation,image
daina,lied,room1.jpg
kede,stoel,room1.jpg
langas,raam,room1.jpg
nafta,olie,room1.jpg
pupa,boon,room1.jpg
sausainis,koekje,room1.jpg
tvartas,schuur,room2.jpg
ziedas,ring,room2.jpg
augalas,plant,room2.jpg
duona,brood,room2.jpg
krautuve,winkel,room2.jpg
miestas,stad,room2.jpg
palepstis,bezem,room3.jpg
pyragas,taart,room3.jpg
sokis,dans,room3.jpg
upe,rivier,room3.jpg
akis,oog,room3.jpg
gele,bloem,room3.jpg
kreida,krijt,room4.jpg
menulis,maan,room4.jpg
pastatas,gebouw,room4.jpg
pinigine,portemonnee,room4.jpg
smegenys,brein,room4.jpg
urvas,grot,room4.jpg
arbata,thee,room5.jpg
durys,deur,room5.jpg
kardas,zwaard,room5.jpg
mesa,vlees,room5.jpg
palaidine,shirt,room5.jpg
raktas,sleutel,room5.jpg
stalas,tafel,room6.jpg
vanduo,water,room6.jpg
adata,naald,room6.jpg
kablelis,hak,room6.jpg
kunigas,priester,room6.jpg
medis,boom,room6.jpg
pienas,melk,room7.jpg
rusys,kelder,room7.jpg
sesuo,zus,room7.jpg
vaistas,drug,room7.jpg
auksas,goud,room7.jpg
kumpis,ham,room7.jpg
laidas,draad,room8.jpg
obuolys,appel,room8.jpg
riteris,ridder,room8.jpg
sakute,vork,room8.jpg
tiltas,brug,room8.jpg
zirkles,schaar,room8.jpg
batas,schoen,room9.jpg
karalius,koning,room9.jpg
lova,bed,room9.jpg
mokykla,school,room9.jpg
purvas,vuil,room9.jpg
sketis,paraplu,room9.jpg
tinklas,net,room10.jpg
vinis,nagel,room10.jpg
bulve,aardappel,room10.jpg
knyga,boek,room10.jpg
ledas,ijs,room10.jpg
mygtukas,button,room10.jpg
paukstis,vogel,room1.jpg
salmas,helm,room1.jpg
turgus,markt,room2.jpg
vejas,wind,room2.jpg
burna,mond,room3.jpg
kraujas,bloed,room3.jpg
laiptelis,trap,room4.jpg
namas,huis,room4.jpg
plyta,steen,room5.jpg
stogas,dak,room5.jpg
traukinys,trein,room6.jpg
zole,gras,room6.jpg
bugnas,drum,room7.jpg
koja,been,room7.jpg
lietus,regen,room8.jpg
puodelis,beker,room8.jpg
plaukas,haar,room9.jpg
smaragdas,smaragd,room9.jpg
tvora,hek,room10.jpg
zuvis,vis,room10.jpg
